dataset,model name,auc,encoding time,matching time
corridor,classification_cait.pth,0.8627366840125037,0.03120507420720281,2.4847256344892078e-05
corridor,classification_pit.pth,0.7947772420262877,0.012563716183911573,2.5546276939930202e-05
corridor,classification_vit.pth,0.6823805570855718,0.011046282879941098,2.2321869322506892e-05
corridor,triplet_cait.pth,0.6535456009807248,0.0330499571722907,2.5157949365430558e-05
corridor,triplet_pit.pth,0.8641270255714649,0.012210749291084908,2.5555352365106608e-05
corridor,triplet_twoQs_cait.pth,0.8037336466925181,0.03409077240540101,2.494747303356726e-05
corridor,triplet_vit.pth,0.8097152163361774,0.010979968148308832,2.2334408502708e-05
corridor,AlexNet_VPR,0.8063526439222565,1.2294683413462595,3.470140718308839e-06
corridor,AMOSNet,0.9536491307086157,0.846006086280754,1.6402911853503898e-05
corridor,ap-gem-r101,0.8546733237406547,1.33,7e-05
corridor,CALC,0.7875566748244975,0.05725067800229734,1.048132270470561e-05
corridor,CoHOG,0.6874438545823146,0.12872390918903523,0.005090800269007461
corridor,denseVLAD,0.8916443010126945,1.33,7e-05
corridor,HOG,0.6970643908173713,0.014383479281588717,0.00014868522559209992
corridor,HybridNet,0.9369213401780061,0.843945769576339,1.6887953660480588e-05
corridor,NETVLAD,0.8218878115714415,3.069585858164607,8.166502961941361e-05
corridor,RegionVLAD,0.6857069094321274,2.299323021828591,0.00011313001247071935
